amp	freq
0.1	0.9993747719521189
0.2	0.9974963423983328
0.30000000000000004	0.9943564082063062
0.4	0.9899409037857948
0.5	0.9842296459779092
0.6	0.9771958060820031
0.7000000000000001	0.9688051739029868
0.8	0.9590151616178921
0.9	0.9477734710221452
1.0	0.9350163119923476
1.1	0.92066600556451
1.2000000000000002	0.904627719359823
1.3000000000000003	0.8867849436987957
1.4000000000000001	0.8669930815023805
1.5000000000000002	0.8450701113556685
1.6	0.8207825199121874
1.7000000000000002	0.7938232102608144
1.8000000000000003	0.7637749809449086
1.9000000000000001	0.730046098072598
2.0	0.6917465870517018
